company_permalink,company_name,company_category_list,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
/organization/3i-systems,3i Systems,Semiconductors,CHN,5,Guangdong,Guangdong,/organization/shenzhen-capital-group,Shenzhen Capital Group,CHN,30,Shenzhen,Shenzhen,/funding-round/470d9228d22c388c1d3ad0baeb0f07f4,venture,,12/1/09,2208150
/organization/3i-systems,3i Systems,Semiconductors,CHN,5,Guangdong,Guangdong,/organization/shenzhen-capital-group,Shenzhen Capital Group,CHN,30,Shenzhen,Shenzhen,/funding-round/89994c98103d7ba3f49b11213a5399a2,venture,,3/1/10,5000000
/organization/3is,3IS,,,,,,/organization/ann-arbor-spark,Ann Arbor SPARK,USA,MI,Detroit,Ann Arbor,/funding-round/179eeed3ce63eaac13a1f548d7e1dd20,venture,,5/2/08,
/organization/3jam,3Jam,Messaging|SMS,USA,CA,SF Bay Area,San Francisco,/organization/new-enterprise-associates,New Enterprise Associates,USA,CA,SF Bay Area,Menlo Park,/funding-round/d0d0ce1c12d3c7b5528d18c96e294246,venture,A,7/1/07,4000000
/organization/3jam,3Jam,Messaging|SMS,USA,CA,SF Bay Area,San Francisco,/organization/norwest-venture-partners,Norwest Venture Partners - NVP,USA,CA,SF Bay Area,Palo Alto,/funding-round/d0d0ce1c12d3c7b5528d18c96e294246,venture,A,7/1/07,4000000
/organization/3leaf,3Leaf,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/alloy-ventures,Alloy Ventures,USA,CA,SF Bay Area,Palo Alto,/funding-round/0e48609ebae6e22610f87915b311b748,venture,C,9/22/08,35000000
/organization/3leaf,3Leaf,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/alloy-ventures,Alloy Ventures,USA,CA,SF Bay Area,Palo Alto,/funding-round/922e9e181fbd969dea0d5e47550c1ec8,venture,A,1/1/05,10000000
/organization/3leaf,3Leaf,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/alloy-ventures,Alloy Ventures,USA,CA,SF Bay Area,Palo Alto,/funding-round/95cd9adf449255623435fc637a30bd75,venture,B,4/30/07,20000000
/organization/3leaf,3Leaf,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/enterprise-partners,Enterprise Partners,USA,CA,San Diego,La Jolla,/funding-round/0e48609ebae6e22610f87915b311b748,venture,C,9/22/08,35000000
/organization/3leaf,3Leaf,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/enterprise-partners,Enterprise Partners,USA,CA,San Diego,La Jolla,/funding-round/922e9e181fbd969dea0d5e47550c1ec8,venture,A,1/1/05,10000000
/organization/3leaf,3Leaf,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/enterprise-partners,Enterprise Partners,USA,CA,San Diego,La Jolla,/funding-round/95cd9adf449255623435fc637a30bd75,venture,B,4/30/07,20000000
/organization/3leaf,3Leaf,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/intel-capital,Intel Capital,USA,CA,SF Bay Area,Santa Clara,/funding-round/0e48609ebae6e22610f87915b311b748,venture,C,9/22/08,35000000
/organization/3leaf,3Leaf,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/intel-capital,Intel Capital,USA,CA,SF Bay Area,Santa Clara,/funding-round/95cd9adf449255623435fc637a30bd75,venture,B,4/30/07,20000000
